id,pm25,pm10,o3,no2,so2,co,t,p,h,w,time,dew,wg,aqi
1257,162,-1,4,1,5,0,26,1005,88,3,1713956400,24,16,162
1273,151,-1,4,1,4,0,30,1007,74,2,1714014000,25,16,151
1289,134,-1,4,1,4,0,28,1001,94,2,1714075200,27,16,134
1305,153,-1,4,1,4,0,32,999,82,4,1714132800,29,16,153
1321,95,-1,4,1,4,0,27,1009,91,4,1714712400,25,-1,95
1337,82,-1,-1,-1,-1,-1,25,1006,94,2,1714773600,24,-1,82
1353,114,-1,-1,-1,-1,-1,27,1004,88,4,1714831200,25,-1,114
1258,167,-1,4,1,5,0,26,1005,88,3,1713960000,24,16,167
1274,154,-1,4,1,4,0,31,1006,70,3,1714017600,25,16,154
1290,127,-1,4,1,4,0,28,1002,97,2,1714078800,27,16,127
1306,157,-1,4,1,4,0,31,1000,87,4,1714136400,28,16,157
1322,107,-1,4,1,4,0,27,1008,86,4,1714716000,25,-1,107
1338,80,-1,-1,-1,-1,-1,25,1006,97,2,1714777200,25,-1,80
1354,112,-1,-1,-1,-1,-1,27,1005,88,4,1714834800,25,-1,112
1259,169,-1,4,1,5,0,26,1005,88,4,1713963600,24,16,169
1275,147,-1,4,1,4,0,32,1005,70,3,1714021200,26,16,147
1291,147,-1,4,1,4,0,27,1002,94,2,1714082400,26,16,147
1307,160,-1,4,1,4,0,30,1000,89,4,1714140000,28,16,160
1323,76,-1,4,1,4,0,27,1008,83,4,1714719600,24,-1,76
1339,95,-1,-1,-1,-1,-1,26,1006,94,2,1714780800,25,-1,95
1355,134,-1,-1,-1,-1,-1,26,1006,94,4,1714838400,25,-1,134
1260,153,-1,4,1,4,0,26,1007,88,1,1713967200,24,16,153
1276,132,-1,4,1,4,0,33,1003,66,3,1714024800,26,16,132
1292,152,-1,4,1,4,0,27,1003,94,1,1714086000,26,16,152
1308,160,-1,4,1,4,0,29,1001,94,4,1714143600,28,16,160
1324,68,-1,4,1,4,0,27,1007,83,6,1714723200,24,-1,68
1340,132,-1,-1,-1,-1,-1,27,1007,94,2,1714784400,26,-1,132
1356,89,-1,-1,-1,-1,-1,27,1007,88,5,1714842000,25,-1,89
1261,154,-1,4,1,4,0,25,1005,94,4,1713970800,24,16,154
1277,107,-1,4,1,4,0,34,1002,66,4,1714028400,27,16,107
1293,162,-1,4,1,4,0,28,1003,94,2,1714089600,27,16,162
1309,162,-1,4,1,4,0,29,1001,91,4,1714147200,27,16,162
1325,65,-1,4,1,4,0,27,1006,78,5,1714726800,23,-1,65
1341,117,-1,-1,-1,-1,-1,29,1007,86,3,1714788000,26,-1,117
1357,89,-1,-1,-1,-1,-1,27,1006,83,5,1714845600,24,-1,89
1262,153,-1,4,1,4,0,25,1007,94,1,1713974400,24,16,153
1278,107,-1,4,1,4,0,33,1001,75,4,1714032000,28,16,107
1294,163,-1,4,1,4,0,29,1004,88,1,1714093200,27,16,163
1310,157,-1,4,1,4,0,28,1000,94,4,1714150800,27,16,157
1326,59,-1,4,1,4,0,26,1006,86,4,1714730400,24,-1,59
1342,112,-1,-1,-1,-1,-1,30,1006,81,4,1714791600,26,-1,112
1358,107,-1,-1,-1,-1,-1,26,1006,78,4,1714849200,22,-1,107
1263,149,-1,4,1,4,0,26,1007,94,3,1713978000,25,16,149
1279,117,-1,4,1,4,0,33,1000,75,4,1714035600,28,16,117
1295,155,-1,4,1,4,0,30,1004,84,1,1714096800,27,16,155
1311,158,-1,4,1,4,0,28,1000,94,5,1714154400,27,16,158
1327,74,-1,4,1,4,0,26,1006,88,5,1714734000,24,-1,74
1343,99,-1,-1,-1,-1,-1,31,1006,77,3,1714795200,26,-1,99
1359,91,-1,-1,-1,-1,-1,25,1006,73,5,1714852800,20,-1,91
1264,162,-1,4,1,4,0,26,1007,91,2,1713981600,25,16,162
1280,134,-1,4,1,4,0,33,1000,70,5,1714039200,27,16,134
1296,163,-1,4,1,4,0,31,1004,79,1,1714100400,27,16,163
1312,154,-1,4,1,4,0,28,1000,94,4,1714158000,27,16,154
1328,68,-1,4,1,4,0,26,1007,83,4,1714737600,23,-1,68
1344,109,-1,-1,-1,-1,-1,32,1005,72,4,1714798800,26,-1,109
1360,114,-1,-1,-1,-1,-1,25,1007,73,4,1714856400,20,-1,114
1265,158,-1,4,1,4,0,26,1006,88,2,1713985200,24,16,158
1281,151,-1,4,1,4,0,31,1000,79,5,1714042800,27,16,151
1297,167,-1,4,1,4,0,33,1003,70,1,1714104000,27,16,167
1313,151,-1,4,1,4,0,27,999,94,3,1714161600,26,16,151
1329,87,-1,4,1,4,0,26,1007,88,4,1714741200,24,-1,87
